mission_id,has_field_labels,n_field_tree_annotations,withhold_from_training,within_distribution_release_split,out_of_distribution_release_split,used_in_unsupervised_box_pretraining,unsupervised_pretraining_split,notes
000018,True,11,False,test,test,False,,
000019,True,4250,False,test,test,False,,
000028,True,66,False,test,test,False,,
000029,True,66,False,test,test,False,,
000030,False,0,,,,True,train,"no field-surveyed trees; used only for unsupervised box pretraining (always train, never evaluated)"
000031,False,0,,,,True,train,"no field-surveyed trees; used only for unsupervised box pretraining (always train, never evaluated)"
000032,False,0,,,,True,train,"no field-surveyed trees; used only for unsupervised box pretraining (always train, never evaluated)"
000035,False,0,,,,True,train,"no field-surveyed trees; used only for unsupervised box pretraining (always train, never evaluated)"
000036,False,0,,,,True,train,"no field-surveyed trees; used only for unsupervised box pretraining (always train, never evaluated)"
000040,False,0,,,,True,train,"no field-surveyed trees; used only for unsupervised box pretraining (always train, never evaluated)"
000045,False,0,,,,True,train,"no field-surveyed trees; used only for unsupervised box pretraining (always train, never evaluated)"
000046,False,0,,,,True,train,"no field-surveyed trees; used only for unsupervised box pretraining (always train, never evaluated)"
000047,False,0,,,,True,train,"no field-surveyed trees; used only for unsupervised box pretraining (always train, never evaluated)"
000048,True,16,False,test,test,False,,
000050,False,0,,,,True,train,"no field-surveyed trees; used only for unsupervised box pretraining (always train, never evaluated)"
000055,False,0,,,,True,train,"no field-surveyed trees; used only for unsupervised box pretraining (always train, never evaluated)"
000058,False,0,,,,True,train,"no field-surveyed trees; used only for unsupervised box pretraining (always train, never evaluated)"
000060,False,0,,,,True,train,"no field-surveyed trees; used only for unsupervised box pretraining (always train, never evaluated)"
000061,False,0,,,,True,train,"no field-surveyed trees; used only for unsupervised box pretraining (always train, never evaluated)"
000065,False,0,,,,True,train,"no field-surveyed trees; used only for unsupervised box pretraining (always train, never evaluated)"
000069,False,0,,,,True,train,"no field-surveyed trees; used only for unsupervised box pretraining (always train, never evaluated)"
000072,False,0,,,,True,train,"no field-surveyed trees; used only for unsupervised box pretraining (always train, never evaluated)"
000075,False,0,,,,True,train,"no field-surveyed trees; used only for unsupervised box pretraining (always train, never evaluated)"
000078,False,0,,,,True,train,"no field-surveyed trees; used only for unsupervised box pretraining (always train, never evaluated)"
000082,False,0,,,,True,train,"no field-surveyed trees; used only for unsupervised box pretraining (always train, never evaluated)"
000085,False,0,,,,True,train,"no field-surveyed trees; used only for unsupervised box pretraining (always train, never evaluated)"
000089,True,4250,False,test,test,True,train,
000090,True,4250,False,test,test,False,,
000091,True,239,False,test,test,False,,
000092,True,118,False,test,test,True,train,
000093,True,118,False,test,test,False,,
000096,True,239,False,test,test,True,train,
000097,True,55,False,test/train,test,True,train,"mission's tiles split across both train and test within-distribution (tile-random 90/10 split, not plot-level)"
000098,False,0,,,,True,train,"no field-surveyed trees; used only for unsupervised box pretraining (always train, never evaluated)"
000100,True,96,False,train,test,True,train,
000101,True,96,False,train,test,False,,
000103,True,121,True,train,test,False,,
000104,True,121,True,train,test,False,,
000106,True,141,False,train,test,True,train,
000109,True,118,False,train,test,True,train,
000110,True,118,False,train,test,False,,
000112,False,0,,,,True,train,"no field-surveyed trees; used only for unsupervised box pretraining (always train, never evaluated)"
000113,True,134,True,train,test,False,,
000114,True,134,True,train,test,False,,
000116,True,242,False,train,test,False,,
000118,True,242,False,train,test,True,train,
000119,True,117,False,train,test,False,,
000121,True,78,False,train,test,False,,
000123,False,0,,,,True,train,"no field-surveyed trees; used only for unsupervised box pretraining (always train, never evaluated)"
000124,True,195,False,train,test,True,train,
000125,False,0,,,,True,train,"no field-surveyed trees; used only for unsupervised box pretraining (always train, never evaluated)"
000126,True,117,False,train,test,True,train,
000127,True,94,False,train,test,False,,
000128,True,94,False,train,test,True,train,
000129,True,94,False,train,test,False,,
000131,True,94,False,train,test,True,train,
000133,True,279,True,train,test,False,,
000136,True,279,True,train,test,False,,
000137,True,47,False,train,test,True,train,
000141,True,262,True,train,test,False,,
000142,True,95,True,train,test,False,,
000143,True,167,True,train,test,False,,
000144,True,167,True,train,test,False,,
000145,True,125,False,train,test,False,,
000147,True,125,False,train,test,True,train,
000148,True,134,False,train,test,False,,
000149,True,134,False,train,test,True,train,
000151,True,111,False,train,test,False,,
000152,True,111,False,train,test,True,train,
000153,True,75,False,train,test,True,train,
000155,True,75,False,train,test,False,,
000157,True,114,False,train,test,True,train,
000158,True,114,False,train,test,False,,
000160,True,192,False,train,test,False,,
000161,True,192,False,train,test,True,train,
000162,True,151,False,train,test,True,train,
000164,True,151,False,train,test,False,,
000165,True,62,False,train,test,False,,
000167,True,119,False,train,test,True,train,
000168,True,62,False,train,test,True,train,
000169,True,119,False,train,test,False,,
000171,True,345,True,train,test,False,,
000173,True,216,True,train,test,False,,
000174,True,345,True,train,test,False,,
000175,True,216,True,train,test,False,,
000179,False,0,,,,True,train,"no field-surveyed trees; used only for unsupervised box pretraining (always train, never evaluated)"
000180,True,187,False,train,test,True,train,
000184,True,81,False,train,test,True,train,
000187,True,105,False,train,test,False,,
000188,True,76,False,train,test,False,,
000189,True,105,False,train,test,False,,
000190,True,129,True,train,test,False,,
000191,True,76,False,train,test,False,,
000193,True,129,True,train,test,False,,
000194,True,82,True,train,test,False,,
000197,True,82,True,train,test,False,,
000199,True,69,False,train,test,False,,
000203,True,117,False,train,test,False,,
000204,True,4,False,train,test,False,,
000207,True,117,False,train,test,False,,
000208,True,22,False,train,test,False,,
000211,True,152,False,train,test,False,,
000220,True,168,False,train,test,False,,
000223,True,1790,False,train,test,False,,
000225,True,1702,False,train,test,False,,
000227,True,2123,False,train,test,False,,
000229,True,76,False,train,test,False,,
000230,True,1790,False,train,test,False,,
000231,True,6270,False,train,test,False,,
000232,True,1702,False,train,test,False,,
000233,True,2123,False,train,test,False,,
000234,True,2876,False,train,test,False,,
000242,True,772,False,train,test,False,,
000244,True,28,True,train,test,False,,
000245,True,772,False,train,test,False,,
000246,True,28,True,train,test,False,,
000248,True,114,True,train,test,False,,
000251,True,114,True,train,test,False,,
000254,True,179,False,train,test,False,,
000256,True,179,False,train,test,False,,
000271,True,116,False,train,test,False,,
000273,True,116,False,train,test,False,,
000278,True,81,False,train,test,False,,
000279,True,81,False,train,test,False,,
000280,True,67,False,train,test,False,,
000281,True,75,False,train,test,False,,
000282,True,42,False,train,test,False,,
000283,True,37,False,train,test,False,,
000284,True,67,False,train,test,False,,
000285,True,167,False,train,test,False,,
000286,True,42,False,train,test,False,,
000288,True,37,False,train,test,False,,
000289,True,161,False,train,test,False,,
000291,True,75,False,train,test,False,,
000293,True,167,False,train,test,False,,
000295,True,113,False,train,test,False,,
000296,True,161,False,train,test,False,,
000301,True,113,False,train,test,False,,
000306,True,74,False,train,test,False,,
000307,True,74,False,train,test,False,,
000310,True,16,False,train,test,False,,
000323,True,4250,False,train,test,False,,
000324,True,4250,False,train,test,False,,
000333,True,563,False,train,test,False,,
000334,True,563,False,train,test,False,,
000335,True,563,False,train,test,False,,
000337,True,164,False,train,test,False,,
000338,True,164,False,train,test,False,,
000339,True,401,True,train,test,False,,
000340,True,401,True,train,test,False,,
000342,True,401,True,train,test,False,,
000348,True,457,False,train,test,False,,
000349,True,457,False,train,test,False,,
000404,True,379,False,train,test,False,,
000405,True,379,False,train,test,False,,
000406,True,201,False,train,test,False,,
000407,True,201,False,train,test,False,,
000430,True,164,False,train,test,False,,
000431,True,164,False,train,test,False,,
000434,True,1161,True,train,test,False,,
000435,True,1161,True,train,test,False,,
000436,True,1161,True,train,test,False,,
000438,True,1182,True,train,test,False,,
000439,True,1185,True,train,test,False,,
000440,True,1161,True,train,test,False,,
000442,True,1161,True,train,test,False,,
000443,True,1201,True,train,test,False,,
000444,True,63,False,train,test,False,,
000446,True,39,False,train,test,False,,
000448,True,139,True,train,test,False,,
000450,True,95,False,train,test,False,,
000451,True,39,False,train,test,False,,
000452,True,139,True,train,test,False,,
000643,True,482,True,train,test,False,,
000644,True,482,True,train,test,False,,
000645,True,482,True,train,test,False,,
000646,True,320,False,train,test,False,,
000647,True,320,False,train,test,False,,
000648,True,320,False,train,test,False,,
000649,True,356,False,train,test,False,,
000650,True,356,False,train,test,False,,
000676,True,482,True,train,test,False,,
000743,True,482,True,train,test,False,,
000748,True,52,False,train,test,False,,
000749,True,52,False,train,test,False,,
000750,True,242,False,train,test,False,,
000751,True,242,False,train,test,False,,
000775,True,103,False,train,test,False,,
000776,True,103,False,train,test,False,,
000777,True,103,False,train,test,False,,
000778,True,75,False,train,test,False,,
000779,True,75,False,train,test,False,,
000780,True,2123,False,train,test,False,,
000781,True,2123,False,train,test,False,,
000782,True,2123,False,train,test,False,,
000808,True,1702,False,train,test,False,,
000874,True,1790,False,train,test,False,,
000932,True,1790,False,train,test,False,,
000934,True,10592,False,train,test,False,,
000935,True,10592,False,train,test,False,,
000938,True,549,False,train,test,False,,
000939,True,549,False,train,test,False,,
001011,True,395,False,train,test,False,,
001012,True,395,False,train,test,False,,
001015,True,698,False,train,test,False,,
001016,True,698,False,train,test,False,,
001017,True,1071,False,train,test,False,,
001019,True,1071,False,train,test,False,,
001044,True,646,False,train,test,False,,
001045,True,646,False,train,test,False,,
001048,True,333,False,train,test,False,,
001049,True,333,False,train,test,False,,
001053,True,824,False,train,test,False,,
001055,True,824,False,train,test,False,,
001065,True,865,False,train,test,False,,
001204,True,252,False,train,test,False,,
001205,True,252,False,train,test,False,,
001206,True,75,False,train,test,False,,
001207,True,108,False,train,test,False,,
001208,True,75,False,train,test,False,,
001209,True,108,False,train,test,False,,
001210,True,38,False,train,test,False,,
001211,True,38,False,train,test,False,,
001214,True,29,False,train,test,False,,
001215,True,29,False,train,test,False,,
001216,True,167,False,train,test,False,,
001217,True,167,False,train,test,False,,
001218,True,85,True,train,test,False,,
001219,True,85,True,train,test,False,,
001220,True,259,True,train,test,False,,
001221,True,259,True,train,test,False,,
001237,True,95,False,train,test,False,,
001238,True,73,False,train,test,False,,
001270,True,211,False,train,test,False,,
001271,True,211,False,train,test,False,,
001273,True,936,False,train,test,False,,
001275,True,935,False,train,test,False,,
001304,True,918,False,train,test,False,,
001306,True,814,True,train,test,False,,
001307,True,4250,False,train,test,False,,
001309,True,4250,False,train,test,False,,
001406,True,16,False,train,test,False,,
001407,True,35,False,train,test,False,,
001408,True,85,False,train,test,False,,
001409,True,85,False,train,test,False,,
001411,True,75,False,train,test,False,,
001414,True,82,True,train,test,False,,
001415,True,82,True,train,test,False,,
001416,True,69,False,train,test,False,,
001417,True,69,False,train,test,False,,
001418,True,434,False,train,test,False,,
001419,True,239,False,train,test,False,,
001420,True,239,False,train,test,False,,
001421,True,105,False,train,test,False,,
001422,True,105,False,train,test,False,,
001435,True,33,False,train,test,False,,
001436,True,33,False,train,test,False,,
001437,True,52,False,train,test,False,,
001438,True,52,False,train,test,False,,
001439,True,103,False,train,test,False,,
001440,True,103,False,train,test,False,,
001468,True,379,False,train,test,False,,
001469,True,379,False,train,test,False,,
