Unnamed: 0,x,y,label,source,filename,split,geometry,score,genus,taxonomy_id,city,treeID,Z,complete,basename
0.0,115.0,90.0,Tree,Amirkolaee et al. 2023,IMG_816.jpg,train,POINT (115 90),,,,,,,True,IMG_816.jpg
1.0,108.0,27.0,Tree,Amirkolaee et al. 2023,IMG_816.jpg,train,POINT (108 27),,,,,,,True,IMG_816.jpg
2.0,101.0,4.0,Tree,Amirkolaee et al. 2023,IMG_816.jpg,train,POINT (101 4),,,,,,,True,IMG_816.jpg
3.0,73.0,27.0,Tree,Amirkolaee et al. 2023,IMG_816.jpg,train,POINT (73 27),,,,,,,True,IMG_816.jpg
4.0,23.0,55.0,Tree,Amirkolaee et al. 2023,IMG_816.jpg,train,POINT (23 55),,,,,,,True,IMG_816.jpg
5.0,15.0,32.0,Tree,Amirkolaee et al. 2023,IMG_816.jpg,train,POINT (15 32),,,,,,,True,IMG_816.jpg
6.0,21.0,16.0,Tree,Amirkolaee et al. 2023,IMG_816.jpg,train,POINT (21 16),,,,,,,True,IMG_816.jpg
7.0,21.0,115.0,Tree,Amirkolaee et al. 2023,IMG_816.jpg,train,POINT (21 115),,,,,,,True,IMG_816.jpg
8.0,19.0,101.0,Tree,Amirkolaee et al. 2023,IMG_816.jpg,train,POINT (19 101),,,,,,,True,IMG_816.jpg
9.0,22.0,82.0,Tree,Amirkolaee et al. 2023,IMG_816.jpg,train,POINT (22 82),,,,,,,True,IMG_816.jpg
10.0,23.0,199.0,Tree,Amirkolaee et al. 2023,IMG_816.jpg,train,POINT (23 199),,,,,,,True,IMG_816.jpg
11.0,32.0,213.0,Tree,Amirkolaee et al. 2023,IMG_816.jpg,train,POINT (32 213),,,,,,,True,IMG_816.jpg
12.0,62.0,211.0,Tree,Amirkolaee et al. 2023,IMG_816.jpg,train,POINT (62 211),,,,,,,True,IMG_816.jpg
13.0,47.0,212.0,Tree,Amirkolaee et al. 2023,IMG_816.jpg,train,POINT (47 212),,,,,,,True,IMG_816.jpg
14.0,80.0,211.0,Tree,Amirkolaee et al. 2023,IMG_816.jpg,train,POINT (80 211),,,,,,,True,IMG_816.jpg
15.0,207.0,181.0,Tree,Amirkolaee et al. 2023,IMG_816.jpg,train,POINT (207 181),,,,,,,True,IMG_816.jpg
16.0,207.0,200.0,Tree,Amirkolaee et al. 2023,IMG_816.jpg,train,POINT (207 200),,,,,,,True,IMG_816.jpg
17.0,103.0,108.0,Tree,Amirkolaee et al. 2023,IMG_816.jpg,train,POINT (103 108),,,,,,,True,IMG_816.jpg
18.0,94.0,85.0,Tree,Amirkolaee et al. 2023,IMG_816.jpg,train,POINT (94 85),,,,,,,True,IMG_816.jpg
19.0,198.0,66.0,Tree,Amirkolaee et al. 2023,IMG_816.jpg,train,POINT (198 66),,,,,,,True,IMG_816.jpg
20.0,195.0,52.0,Tree,Amirkolaee et al. 2023,IMG_816.jpg,train,POINT (195 52),,,,,,,True,IMG_816.jpg
21.0,193.0,32.0,Tree,Amirkolaee et al. 2023,IMG_816.jpg,train,POINT (193 32),,,,,,,True,IMG_816.jpg
22.0,223.0,3.0,Tree,Amirkolaee et al. 2023,IMG_816.jpg,train,POINT (223 3),,,,,,,True,IMG_816.jpg
23.0,280.0,188.0,Tree,Amirkolaee et al. 2023,IMG_816.jpg,train,POINT (280 188),,,,,,,True,IMG_816.jpg
24.0,271.0,18.0,Tree,Amirkolaee et al. 2023,IMG_816.jpg,train,POINT (271 18),,,,,,,True,IMG_816.jpg
25.0,355.0,76.0,Tree,Amirkolaee et al. 2023,IMG_816.jpg,train,POINT (355 76),,,,,,,True,IMG_816.jpg
26.0,361.0,48.0,Tree,Amirkolaee et al. 2023,IMG_816.jpg,train,POINT (361 48),,,,,,,True,IMG_816.jpg
27.0,351.0,21.0,Tree,Amirkolaee et al. 2023,IMG_816.jpg,train,POINT (351 21),,,,,,,True,IMG_816.jpg
28.0,315.0,56.0,Tree,Amirkolaee et al. 2023,IMG_816.jpg,train,POINT (315 56),,,,,,,True,IMG_816.jpg
29.0,302.0,37.0,Tree,Amirkolaee et al. 2023,IMG_816.jpg,train,POINT (302 37),,,,,,,True,IMG_816.jpg
30.0,303.0,22.0,Tree,Amirkolaee et al. 2023,IMG_816.jpg,train,POINT (303 22),,,,,,,True,IMG_816.jpg
31.0,283.0,36.0,Tree,Amirkolaee et al. 2023,IMG_816.jpg,train,POINT (283 36),,,,,,,True,IMG_816.jpg
32.0,399.0,188.0,Tree,Amirkolaee et al. 2023,IMG_816.jpg,train,POINT (399 188),,,,,,,True,IMG_816.jpg
33.0,425.0,70.0,Tree,Amirkolaee et al. 2023,IMG_816.jpg,train,POINT (425 70),,,,,,,True,IMG_816.jpg
34.0,411.0,53.0,Tree,Amirkolaee et al. 2023,IMG_816.jpg,train,POINT (411 53),,,,,,,True,IMG_816.jpg
35.0,385.0,22.0,Tree,Amirkolaee et al. 2023,IMG_816.jpg,train,POINT (385 22),,,,,,,True,IMG_816.jpg
36.0,434.0,154.0,Tree,Amirkolaee et al. 2023,IMG_816.jpg,train,POINT (434 154),,,,,,,True,IMG_816.jpg
37.0,435.0,169.0,Tree,Amirkolaee et al. 2023,IMG_816.jpg,train,POINT (435 169),,,,,,,True,IMG_816.jpg
38.0,438.0,183.0,Tree,Amirkolaee et al. 2023,IMG_816.jpg,train,POINT (438 183),,,,,,,True,IMG_816.jpg
39.0,529.0,168.0,Tree,Amirkolaee et al. 2023,IMG_816.jpg,train,POINT (529 168),,,,,,,True,IMG_816.jpg
40.0,609.0,192.0,Tree,Amirkolaee et al. 2023,IMG_816.jpg,train,POINT (609 192),,,,,,,True,IMG_816.jpg
41.0,505.0,4.0,Tree,Amirkolaee et al. 2023,IMG_816.jpg,train,POINT (505 4),,,,,,,True,IMG_816.jpg
42.0,505.0,50.0,Tree,Amirkolaee et al. 2023,IMG_816.jpg,train,POINT (505 50),,,,,,,True,IMG_816.jpg
43.0,703.0,4.0,Tree,Amirkolaee et al. 2023,IMG_816.jpg,train,POINT (703 4),,,,,,,True,IMG_816.jpg
44.0,669.0,17.0,Tree,Amirkolaee et al. 2023,IMG_816.jpg,train,POINT (669 17),,,,,,,True,IMG_816.jpg
45.0,714.0,164.0,Tree,Amirkolaee et al. 2023,IMG_816.jpg,train,POINT (714 164),,,,,,,True,IMG_816.jpg
