dataset,filename,width,height,shorter_dim,longer_dim,aspect_ratio,size_bin,is_sliver
TreeBoxes,2019_BLAN_3_762000_4326000_image_tile_55.jpg,1024,1024,1024,1024,1.0,1024–2047,False
TreeBoxes,HARV_047_2018.tif,400,400,400,400,1.0,256–511,False
TreeBoxes,train_824.png,2048,2048,2048,2048,1.0,≥2048,False
TreeBoxes,NIWO_002_2018.tif,400,400,400,400,1.0,256–511,False
TreeBoxes,20231208_asforestnorthe2_m3m_rgb_tile_valid_1777_gr0p045_7992_1776.png,1777,1777,1777,1777,1.0,1024–2047,False
TreeBoxes,tile_58_87_lat_50.89147_lon_4.69642.png,640,640,640,640,1.0,512–1023,False
TreeBoxes,Pfinztal_10.png,400,400,400,400,1.0,256–511,False
TreeBoxes,000030_ortho_8.png,800,800,800,800,1.0,512–1023,False
TreeBoxes,5032-6-6.png,1024,1024,1024,1024,1.0,1024–2047,False
TreeBoxes,Carlos Vera Guevara RGB_5_3800_3800_7800_7800.png,4000,4000,4000,4000,1.0,≥2048,False
TreeBoxes,B09_0098.JPG,1500,1500,1500,1500,1.0,1024–2047,False
TreePolygons,31.jpg,3840,2160,2160,3840,1.78,≥2048,False
TreePolygons,33.jpg,3840,2160,2160,3840,1.78,≥2048,False
TreePolygons,Tree8105_1722238797.png,960,540,540,960,1.78,512–1023,False
TreePolygons,Paracou_RGB_2016_10cm_3676.png,500,500,500,500,1.0,256–511,False
TreePolygons,aerial_train_2009_2.png,752,741,741,752,1.01,512–1023,False
TreePolygons,HARV_047_2018.tif,400,400,400,400,1.0,256–511,False
TreePolygons,PlotS5_20210615_RGB_143.png,2000,2000,2000,2000,1.0,1024–2047,False
TreePolygons,Tree4407_1722253012.png,960,540,540,960,1.78,512–1023,False
TreePolygons,2021-08-18-sbl-z1-rgb-cog_18.png,3000,3000,3000,3000,1.0,≥2048,False
TreePolygons,rgb_61_1.png,1000,1000,1000,1000,1.0,512–1023,False
TreePolygons,rgb_14_1.png,1000,1000,1000,1000,1.0,512–1023,False
TreePolygons,CityCentre_2017_32630_712995_5787148_160_20_32630.png,801,800,800,801,1.0,512–1023,False
TreePolygons,34.jpg,3840,2160,2160,3840,1.78,≥2048,False
TreePolygons,BCI_50ha_2022_09_29_global_33.png,2000,2000,2000,2000,1.0,1024–2047,False
TreePolygons,ck2el7eirm1p60725d4adv7c3.jpg,4864,3648,3648,4864,1.33,≥2048,False
TreePolygons,BCI_50ha_2022_09_29_global_12.png,2000,2000,2000,2000,1.0,1024–2047,False
TreePolygons,BCI_50ha_2022_09_29_global_25.png,2000,2000,2000,2000,1.0,1024–2047,False
TreePolygons,aerial_train_2016_1.png,1555,1946,1555,1946,1.25,1024–2047,False
TreePolygons,HARV_047_2022.tif,400,400,400,400,1.0,256–511,False
TreePolygons,BCI_50ha_2020_08_01_global_19.png,2000,2000,2000,2000,1.0,1024–2047,False
