IDX,SHAPE_LNG,SHAPE_LAT,GENUS,TAXONOMY_ID
58cf6dbc-0e02-11ec-a4f7-6792d69a8db8,-80.06786821,40.42926879,tilia,303
58cf6e3e-0e02-11ec-a4f7-6792d69a8db8,-79.96503491,40.42679667,acer,4
58cf6eac-0e02-11ec-a4f7-6792d69a8db8,-79.99927602,40.45550338,acer,4
58cf6f1a-0e02-11ec-a4f7-6792d69a8db8,-79.92410638,40.47666673,acer,4
58cf6f7e-0e02-11ec-a4f7-6792d69a8db8,-79.92456803,40.47749586,quercus,247
58cf6fec-0e02-11ec-a4f7-6792d69a8db8,-79.92598467,40.47840283,cornus,83
58cf7050-0e02-11ec-a4f7-6792d69a8db8,-79.92612638,40.47840377,acer,4
58cf70b4-0e02-11ec-a4f7-6792d69a8db8,-79.92616099,40.478313799999995,acer,4
58cf7118-0e02-11ec-a4f7-6792d69a8db8,-79.93638956,40.48523963,acer,4
58cf717c-0e02-11ec-a4f7-6792d69a8db8,-80.06724511,40.45321254,gleditsia,132
58cf724e-0e02-11ec-a4f7-6792d69a8db8,-80.07040834,40.45599747,quercus,247
58cf72b2-0e02-11ec-a4f7-6792d69a8db8,-80.0700943,40.4534458,acer,4
58cf730c-0e02-11ec-a4f7-6792d69a8db8,-80.07011237,40.45321893,acer,4
58cf7370-0e02-11ec-a4f7-6792d69a8db8,-80.00031459,40.45529959,gleditsia,132
58cf73ca-0e02-11ec-a4f7-6792d69a8db8,-80.03528994,40.44619189,liquidambar,170
58cf74ec-0e02-11ec-a4f7-6792d69a8db8,-80.05754439,40.45698324,acer,4
58cf7550-0e02-11ec-a4f7-6792d69a8db8,-80.05753551,40.45754455,tilia,303
58cf75b4-0e02-11ec-a4f7-6792d69a8db8,-80.05201943,40.4535338,acer,4
58cf7618-0e02-11ec-a4f7-6792d69a8db8,-80.05031582,40.45572292,acer,4
58cf767c-0e02-11ec-a4f7-6792d69a8db8,-80.04901865,40.45390535,acer,4
58cf7762-0e02-11ec-a4f7-6792d69a8db8,-80.05275226,40.45563734,acer,4
58cf77c6-0e02-11ec-a4f7-6792d69a8db8,-80.05259534,40.45546953,liquidambar,170
58cf782a-0e02-11ec-a4f7-6792d69a8db8,-80.05083398,40.454780799999995,acer,4
58cf7884-0e02-11ec-a4f7-6792d69a8db8,-80.05077940000001,40.45472999,acer,4
58cf78e8-0e02-11ec-a4f7-6792d69a8db8,-79.99652576,40.455979,ginkgo,131
58cf7942-0e02-11ec-a4f7-6792d69a8db8,-80.05194276,40.45464823,tilia,303
58cf79a6-0e02-11ec-a4f7-6792d69a8db8,-80.0522652,40.45498332,acer,4
