IDX,SHAPE_LNG,SHAPE_LAT,GENUS,TAXONOMY_ID
077b82b6-1f14-11ec-81f2-eb8801c6f8d0,-86.54189121792244,39.171310228576544,acer,4
077b8586-1f14-11ec-81f2-eb8801c6f8d0,-86.5328174625,39.1594363667,cornus,83
077b8694-1f14-11ec-81f2-eb8801c6f8d0,-86.5329619713,39.1592819278,cornus,83
077b877a-1f14-11ec-81f2-eb8801c6f8d0,-86.5315625166,39.1592723444,cornus,83
077b8842-1f14-11ec-81f2-eb8801c6f8d0,-86.53134337649999,39.1592789791,juniperus,156
077b8900-1f14-11ec-81f2-eb8801c6f8d0,-86.5306034814,39.1594079854,quercus,247
077b8a68-1f14-11ec-81f2-eb8801c6f8d0,-86.5304898708,39.159275661799995,acer,4
077b8b1c-1f14-11ec-81f2-eb8801c6f8d0,-86.5304047817,39.159282665,acer,4
077b8bda-1f14-11ec-81f2-eb8801c6f8d0,-86.53007155549999,39.1592767675,magnolia,181
077b8c98-1f14-11ec-81f2-eb8801c6f8d0,-86.5301371549,39.1594068796,acer,4
077b8d60-1f14-11ec-81f2-eb8801c6f8d0,-86.52960380299999,39.1592653412,quercus,247
077b8e28-1f14-11ec-81f2-eb8801c6f8d0,-86.5297069558,39.1592697643,quercus,247
077b8ef0-1f14-11ec-81f2-eb8801c6f8d0,-86.52969919690001,39.1594081802,acer,4
077b8fae-1f14-11ec-81f2-eb8801c6f8d0,-86.5295524643,39.1592741874,quercus,247
077b9076-1f14-11ec-81f2-eb8801c6f8d0,-86.5293277444,39.159402631,juglans,155
077b9134-1f14-11ec-81f2-eb8801c6f8d0,-86.52881483290001,39.159404105300005,malus,183
077b91f2-1f14-11ec-81f2-eb8801c6f8d0,-86.5289170349,39.1594018938,acer,4
077b92b0-1f14-11ec-81f2-eb8801c6f8d0,-86.52863039389999,39.159404105300005,cornus,83
077b936e-1f14-11ec-81f2-eb8801c6f8d0,-86.52869409190001,39.1594052111,acer,4
077b94ea-1f14-11ec-81f2-eb8801c6f8d0,-86.528408124,39.1594044329,acer,4
077b9616-1f14-11ec-81f2-eb8801c6f8d0,-86.5280558834,39.1593878464,magnolia,181
077b96e8-1f14-11ec-81f2-eb8801c6f8d0,-86.52810246850001,39.1593915323,malus,183
077b97a6-1f14-11ec-81f2-eb8801c6f8d0,-86.528156184,39.1593871092,malus,183
077b9864-1f14-11ec-81f2-eb8801c6f8d0,-86.5278857052,39.159399272600005,fagus,121
077b9922-1f14-11ec-81f2-eb8801c6f8d0,-86.5279636639,39.159388215,fagus,121
077b99d6-1f14-11ec-81f2-eb8801c6f8d0,-86.5275607133,39.1592505976,cercis,67
077b9a94-1f14-11ec-81f2-eb8801c6f8d0,-86.5275088993,39.1592480175,platanus,227
077b9b5c-1f14-11ec-81f2-eb8801c6f8d0,-86.5262645184,39.1593730453,fraxinus,127
077b9c1a-1f14-11ec-81f2-eb8801c6f8d0,-86.5260810301,39.1593704652,ginkgo,131
077b9ce2-1f14-11ec-81f2-eb8801c6f8d0,-86.5259921382,39.1594548721,fraxinus,127
